source_coin,source_var,target_coin,target_var,lag,F-test p-value
DAI,RV,BTC,RV,1,0.0031550252368336817
DAI,RV,BTC,Log Returns,1,0.023531914588967667
DAI,RV,ETH,RV,1,0.0007163755918714242
DAI,VolLogChange,BNB,Log Returns,1,8.7444646088563e-08
DAI,VolLogChange,BTC,Log Returns,1,0.0005523725707461924
DAI,VolLogChange,ETH,Log Returns,1,2.7208177674729985e-05
DAI,VolLogChange,XRP,Log Returns,1,1.1734475973194926e-05
USDC,RV,BNB,Log Returns,1,0.030809506387090863
USDC,RV,BTC,RV,1,0.028391998735926842
USDC,VolLogChange,BNB,Log Returns,1,6.253410278103548e-05
USDC,VolLogChange,ETH,Log Returns,1,0.010882865880840122
USDC,VolLogChange,XRP,Log Returns,1,0.0013343087438603728
USDT,RV,BNB,RV,1,0.00019771790172729223
USDT,RV,BNB,Log Returns,1,4.450632994461488e-05
USDT,RV,BTC,RV,1,0.0013251927813134788
USDT,RV,BTC,Log Returns,1,1.3469022703565788e-06
USDT,RV,ETH,RV,1,4.930835181395902e-05
USDT,RV,ETH,Log Returns,1,0.00295391673675401
USDT,RV,XRP,RV,1,3.746829494936447e-05
USDT,RV,XRP,Log Returns,1,0.009698713642181245
USDT,VolLogChange,BNB,Log Returns,1,0.0015439392537256018
USDT,VolLogChange,XRP,Log Returns,1,0.02812219915598867
